Description,Amount,Price,Image URL,Category
Chefs' Cupboard Sauce Mixes,29g,99c,https://www.aldi.com.au/fileadmin/_processed_/f/b/csm_1002781_REDUCTIONS_R46_1_1a_RET_78620cba44.jpg,Pantry
Bramwells Peanut Butter Smooth,500g,$3.19,https://www.aldi.com.au/fileadmin/_processed_/c/8/csm_1002781_REDUCTIONS_R45_NOV11_25_5a_RET_503ecbd37b.jpg,"Dairy, Eggs & Fridge"
Bramwells Peanut Butter Crunchy,500g,$3.19,https://www.aldi.com.au/fileadmin/_processed_/c/f/csm_1002781_REDUCTIONS_R45_NOV11_31_6a_RET_f2aec97804.jpg,"Dairy, Eggs & Fridge"
Maltesers,140g,$4.19,https://www.aldi.com.au/fileadmin/_processed_/6/0/csm_1002781_REDUCTIONS_R44_OCT28_5_3a_RET_e04d2f358d.jpg,Snacks & Confectionery
M&M's Peanut,180g,$4.19,https://www.aldi.com.au/fileadmin/_processed_/9/4/csm_1002781_REDUCTIONS_R44_OCT28_7_4a_RET_756d706fe2.jpg,Snacks & Confectionery
Red Bull Energy Drink,250ml,$2.69,https://www.aldi.com.au/fileadmin/_processed_/0/0/csm_1002781_REDUCTIONS_R44_OCT28_15_7a_RET_2657405d2e.jpg,Pantry
Urban Eats Wok Ready Noodles,400g,$1.49,https://www.aldi.com.au/fileadmin/_processed_/1/f/csm_1002781_REDUCTIONS_R42_OCT3_1_1a_RET_ca6f743e7d.jpg,International Foods
Portview Tuna Chunks,425g,$3.29,https://www.aldi.com.au/fileadmin/_processed_/c/1/csm_1002781_REDUCTIONS_R42_OCT3_13_3a_RET_20b01ffc46.jpg,"Poultry, Meat & Seafood"
Oh So Natural! Organic Kalamata Olives,350g,$2.99,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_1002781_REDUCTIONS_R42_OCT3_25_5a_RET_5df8adfa8d.jpg,Fruit & Veg
Deli Originals Greek Style Dolmades,280g,$3.19,https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_1002781_REDUCTIONS_R42_OCT3_31_6a_RET_9c10d86f4c.jpg,International Foods
Remano Specialty Vinegars,500ml,$2.39,https://www.aldi.com.au/fileadmin/_processed_/7/2/csm_1002781_REDUCTIONS_R41_SEP24_1_2a_RET_580c12ec63.jpg,Pantry
Chef's Cupboard Stock Cubes,,$1.89,https://www.aldi.com.au/fileadmin/_processed_/4/2/csm_1002781_REDUCTIONS_R41_SEP24_5_3a_RET_235bb76821.jpg,"Poultry, Meat & Seafood"
Hillcrest Honey Nut Corn Flakes or Honey Wheats,670g,$4.69,https://www.aldi.com.au/fileadmin/_processed_/a/1/csm_1002781_REDUCTIONS_R39_SEP11_5_3a_RET_eacf04d6d8.jpg,Pantry
Belmont Biscuit Co. Hundreds & Thousands,200g,$1.89,https://www.aldi.com.au/fileadmin/_processed_/3/8/csm_1002781_REDUCTIONS_R37_SEP02_01_1x1_2a_RET_083010fe64.jpg,Snacks & Confectionery
Brookdale Ice Cream Topping,605g-625g,$1.89,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_1002781_REDUCTIONS_R36_AUG20_09_1x1_5a_RET_7175307a95.jpg,"Dairy, Eggs & Fridge"
