Product Code,Category,Item Name,Best Price,Best Unit Price,Item Price,Unit Price,Link,Price Was,Special Text,Complex Promo Text
4590551,Fruit & Vegetables,Coles Brown Mushrooms Loose | approx 200g,3.2,16.001,3.2,16.001,https://www.coles.com.au/product/coles-brown-mushrooms-loose-approx.-200g-each-4590551,,,
6584243,Fruit & Vegetables,Coles Tuscan Kale | 1 each,4.5,4.501,4.5,4.501,https://www.coles.com.au/product/coles-tuscan-kale-1-each-6584243,,,
3015977,Fruit & Vegetables,Coles Kitchen American BBQ Slaw Kit | 400g,4.5,13.751,5.5,13.751,https://www.coles.com.au/product/coles-kitchen-american-bbq-slaw-kit-400g-3015977,,,
5945620,Fruit & Vegetables,Coles Honeydew Melon Whole | 1 each,6.9,6.901,6.9,6.901,https://www.coles.com.au/product/coles-honeydew-melon-whole-1-each-5945620,,,
2310111,Fruit & Vegetables,Coles Kitchen Broccoli & Cauliflower Fl ... 150g,2,13.331,2,13.331,https://www.coles.com.au/product/coles-kitchen-broccoli-and-cauliflower-florets-150g-2310111,,,
3214725,Fruit & Vegetables,Coles Herb Punnets Mint | 15g,3.2,2.131,3.2,2.131,https://www.coles.com.au/product/coles-herb-punnets-mint-15g-3214725,,,
3938860,Fruit & Vegetables,Coles Birdseye Chillies | 40g,3.8,95.001,3.8,95.001,https://www.coles.com.au/product/coles-birdseye-chillies-40g-3938860,,,
2832762,Fruit & Vegetables,Coles Modi Apples | 1 each,3.9,3.901,3.9,3.901,https://www.coles.com.au/product/coles-modi-apples-1-each-2832762,,,
3016288,Fruit & Vegetables,Coles Kitchen Potato Salad | 250g,3,16.001,4,16.001,https://www.coles.com.au/product/coles-kitchen-potato-salad-250g-3016288,,,
3214521,Fruit & Vegetables,Coles Herb Punnets Basil | 15g,3.2,2.131,3.2,2.131,https://www.coles.com.au/product/coles-herb-punnets-basil-15g-3214521,,,
4989110,Fruit & Vegetables,Coles Kitchen Asian Salad Kit | 550g,7,12.731,7,12.731,https://www.coles.com.au/product/coles-kitchen-asian-salad-kit-550g-4989110,,,
410443,Fruit & Vegetables,Coles White Onions Loose | approx 160g,0.88,5.501,0.88,5.501,https://www.coles.com.au/product/coles-white-onions-loose-approx.-160g-each-410443,,,
8381564,Fruit & Vegetables,Fresh Passionfruit prepack | 4 pack,5.5,1.381,5.5,1.381,https://www.coles.com.au/product/fresh-passionfruit-prepack-4-pack-8381564,,,
8417184,Fruit & Vegetables,Coles Natural Almonds | approx 100g,2.2,22.001,2.2,22.001,https://www.coles.com.au/product/coles-natural-almonds-approx.-100g-8417184,,,
3869699,Fruit & Vegetables,Coles Kitchen Beetslaw Salad Kit | 320g,4.5,17.191,5.5,17.191,https://www.coles.com.au/product/coles-kitchen-beetslaw-salad-kit-320g-3869699,,,
8416829,Fruit & Vegetables,Coles Soy Crisps | approx 100g,1.8,18.001,1.8,18.001,https://www.coles.com.au/product/coles-soy-crisps-approx.-100g-8416829,,,
3769876,Fruit & Vegetables,Coles Giant Sour Cola Bottles | approx 100g,2.5,25.001,2.5,25.001,https://www.coles.com.au/product/coles-giant-sour-cola-bottles-approx.-100g-3769876,,,
4365351,Fruit & Vegetables,Coles Mini Q's Cucumber | 125g,4.5,36.001,4.5,36.001,https://www.coles.com.au/product/coles-mini-q's-cucumber-125g-4365351,,,
3858896,Fruit & Vegetables,Coles Kitchen Green Goddess Salad Kit | 350g,4.5,15.711,5.5,15.711,https://www.coles.com.au/product/coles-kitchen-green-goddess-salad-kit-350g-3858896,,,
7410995,Fruit & Vegetables,Coles Unique Selection Mandarins prepacked | 800g,5.5,6.881,5.5,6.881,https://www.coles.com.au/product/coles-unique-selection-mandarins-prepacked-800g-7410995,,,
8933048,Fruit & Vegetables,Coles Tomatoes Kumato | 500g,7.5,15.001,7.5,15.001,https://www.coles.com.au/product/coles-tomatoes-kumato-500g-8933048,,,
7511416,Fruit & Vegetables,Coles Grandma?s Heirloom Tomatoes Red | approx 200g,2.38,11.901,2.38,11.901,https://www.coles.com.au/product/coles-grandmas-heirloom-tomatoes-red-approx.-200g-7511416,,,
4575569,Fruit & Vegetables,Coles Sleeved Herbs Parsley | 1 each,3.2,3.201,3.2,3.201,https://www.coles.com.au/product/coles-sleeved-herbs-parsley-1-each-4575569,,,
4966737,Fruit & Vegetables,Coles Fresh Turnips | approx 180g,1.26,7.001,1.26,7.001,https://www.coles.com.au/product/coles-fresh-turnips-approx.-180g-each-4966737,,,
3087366,Fruit & Vegetables,Coles Half Papaya | 1 each,2.9,2.901,2.9,2.901,https://www.coles.com.au/product/coles-half-papaya-1-each-3087366,,,
4829703,Fruit & Vegetables,Coles Brown Mushrooms Prepacked | 200g,5.7,28.501,5.7,28.501,https://www.coles.com.au/product/coles-brown-mushrooms-prepacked-200g-4829703,,,
132056,Fruit & Vegetables,Coles Lady Finger Bananas | approx 140g,1.11,7.901,1.11,7.901,https://www.coles.com.au/product/coles-lady-finger-bananas-approx.-140g-132056,,,
2674650,Fruit & Vegetables,Coles Kitchen Carrot & Broccoli Florets | 150g,2,13.331,2,13.331,https://www.coles.com.au/product/coles-kitchen-carrot-and-broccoli-florets-150g-2674650,,,
1501351,Fruit & Vegetables,Coles Green Cayenne Chillies | 50g,3.8,76.001,3.8,76.001,https://www.coles.com.au/product/coles-green-cayenne-chillies-50g-1501351,,,
4544805,Fruit & Vegetables,Alfalfa Sprouts Prepacked | 125g,2.5,20.001,2.5,20.001,https://www.coles.com.au/product/alfalfa-sprouts-prepacked-125g-4544805,,,
5427352,Fruit & Vegetables,Coles Baby Oak Lettuce | 150g,4,26.671,4,26.671,https://www.coles.com.au/product/coles-baby-oak-lettuce-150g-5427352,,,
5431305,Fruit & Vegetables,Coles Exotic Shiitake Mushrooms Prepacked | 100g,6,60.001,6,60.001,https://www.coles.com.au/product/coles-exotic-shiitake-mushrooms-prepacked-100g-5431305,,,
5952272,Fruit & Vegetables,Coles Royal Blue Potatoes | 2kg,7.5,3.751,7.5,3.751,https://www.coles.com.au/product/coles-royal-blue-potatoes-2kg-5952272,,,
8417060,Fruit & Vegetables,Coles Prunes | approx 100g,1.7,17.001,1.7,17.001,https://www.coles.com.au/product/coles-prunes-approx.-100g-8417060,,,
1501635,Fruit & Vegetables,Coles Red Cayanne Chillies | 50g,3.8,76.001,3.8,76.001,https://www.coles.com.au/product/coles-red-cayanne-chillies-50g-1501635,,,
5055611,Fruit & Vegetables,Coles Organic Avocados | 1 each,4,4.001,4,4.001,https://www.coles.com.au/product/coles-organic-avocados-1-each-5055611,,,
