Store,Timestamp,Product Name,Size,Original Price,Discounted Price,Unit Price,Product Link
Foodland Balaklava,2025-05-04 23:54:17,Mighty Soft Hot Dog Rolls 6pk,N/A,was $6.25,$3.90,$65.00 per 100g,https://foodlandbalaklava.com.au//lines/mighty-soft-roll-hotdog-6pk
Foodland Balaklava,2025-05-04 23:54:17,Perfect Italiano Cheese Perfect Pizza Grated,450g,N/A,$9.50,$21.11 per kg,https://foodlandbalaklava.com.au//lines/perfect-chse-shrd-pizza-450gm
Foodland Balaklava,2025-05-04 23:54:17,Ingham's Chicken Breast Tenders Original,400g,was $5.50,$5.15,$12.88 per kg,https://foodlandbalaklava.com.au//lines/ingham-chick-brst-tenders400gm
Foodland Balaklava,2025-05-04 23:54:17,Western Star Spreadable Supersoft,500g,was $7.90,$6.70,$1.34 per 100g,https://foodlandbalaklava.com.au//lines/w-star-spread-supersoft-500gm
Foodland Balaklava,2025-05-04 23:54:17,Krc Fritz Smiley Rw,N/A,was $16.00,$11.90,N/A,https://foodlandbalaklava.com.au//lines/krc-fritz-smiley-rw-1
Foodland Balaklava,2025-05-04 23:54:17,Western Star Spreadable Original Soft,500g,was $7.90,$6.70,$1.34 per 100g,https://foodlandbalaklava.com.au//lines/w-star-spread-trad-500gm
Foodland Balaklava,2025-05-04 23:54:17,Black & Gold Salted Butter,500g,N/A,$7.00,$1.40 per 100g,https://foodlandbalaklava.com.au//lines/b-gold-butter-salted-500gm
Foodland Balaklava,2025-05-04 23:54:17,Kleenex Large & Thick 3 Ply Facial Tissues 95 Pack,N/A,N/A,$3.70,$3.89 Units100,https://foodlandbalaklava.com.au//lines/klnx-tissue-large-n-thick-95s
Foodland Balaklava,2025-05-04 23:54:17,Potatoes Washed,2.5kg,N/A,$7.50,$3.00 per kg,https://foodlandbalaklava.com.au//lines/potatoes-washed-2-5kg
Foodland Balaklava,2025-05-04 23:54:17,R/​Fresh Sweet Mix Lettuce,120g,N/A,$3.45,N/A,https://foodlandbalaklava.com.au//lines/r-fresh-sweet-mix-lettuce-100g
Foodland Balaklava,2025-05-04 23:54:17,Smith's Crinkle Cut Potato Chips Cheese & Onion,170g,was $5.25,$4.50,$2.65 per 100g,https://foodlandbalaklava.com.au//lines/smiths-crinkl-chs-onion-170gm
Foodland Balaklava,2025-05-04 23:54:17,Arnott's Shapes Originals Cracker Biscuits Chicken Crimpy,175g,was $4.00,$3.50,$2.00 per 100g,https://foodlandbalaklava.com.au//lines/arn-shapes-chicken-crimpy175gm
Foodland Balaklava,2025-05-04 23:54:17,Black & Gold White Sugar,2kg,N/A,$2.85,$0.14 per 100g,https://foodlandbalaklava.com.au//lines/b-gold-white-sugar-2kg
Foodland Balaklava,2025-05-04 23:54:17,Smith's Crinkle Cut Salt & Vinegar Potato Chips Share Pack,170g,was $5.25,$4.50,$2.65 per 100g,https://foodlandbalaklava.com.au//lines/smiths-crinkl-slt-ving-170gm
Foodland Balaklava,2025-05-04 23:54:17,Chiko Rolls,4g,N/A,$7.90,$1.22 per 100g,https://foodlandbalaklava.com.au//lines/b-eye-chiko-rolls-4s-650gm
Foodland Balaklava,2025-05-04 23:54:17,Golden North Milk,2L,was $5.29,$4.50,$2.25 per L,https://foodlandbalaklava.com.au//lines/gldn-nth-whole-milk-2l-1
Foodland Balaklava,2025-05-04 23:54:17,M/​Hill Spring Water,10L,N/A,$4.45,$0.44 per L,https://foodlandbalaklava.com.au//lines/m-hill-spring-water-10l
Foodland Balaklava,2025-05-04 23:54:17,Mighty Soft Hamburger Buns 6pk,N/A,was $6.25,$3.90,$0.65 Each,https://foodlandbalaklava.com.au//lines/mighty-soft-bun-hamburger-6pk
Foodland Balaklava,2025-05-04 23:54:17,Smith's Crinkle Cut Potato Chips Chicken,170g,was $5.25,$4.50,$2.65 per 100g,https://foodlandbalaklava.com.au//lines/smiths-crinkl-chicken-170gm
Foodland Balaklava,2025-05-04 23:54:17,Smith's Crinkle Cut Potato Chips Original,170g,was $5.25,$4.50,$2.65 per 100g,https://foodlandbalaklava.com.au//lines/smiths-crinkl-original-170gm
Foodland Balaklava,2025-05-04 23:54:17,Spring Onions Per Bunch,N/A,N/A,$2.60,N/A,https://foodlandbalaklava.com.au//lines/spring-onions-per-bunch
Foodland Balaklava,2025-05-04 23:54:17,Viva Paper Towels 3 Pack 21cm,N/A,was $6.85,$5.00,$2.78 per 100 Sheets,https://foodlandbalaklava.com.au//lines/viva-towel-triple-60-white-3pk
Foodland Balaklava,2025-05-04 23:54:17,Adelaide Hills Premium Leg Ham Rw,N/A,was $30.00,$25.90,N/A,https://foodlandbalaklava.com.au//lines/adelaide-hills-premium-leg-ham-rw-1
Foodland Balaklava,2025-05-04 23:54:17,Arnott's Cream Favourites,500g,was $6.50,$6.00,$1.20 per 100g,https://foodlandbalaklava.com.au//lines/arn-asst-creams-500gm
Foodland Balaklava,2025-05-04 23:54:17,Carrot Loose Per Kg,N/A,N/A,$0.39,$2.80 per kg,https://foodlandbalaklava.com.au//lines/loose-carrot-per-kg
Foodland Balaklava,2025-05-04 23:54:17,Celery Half,N/A,N/A,$2.55,N/A,https://foodlandbalaklava.com.au//lines/celery-half-2
Foodland Balaklava,2025-05-04 23:54:17,Coca-Cola Classic Soft Drink Multipack Cans,30 x 375mL,was $52.50,$30.90,$2.75 per L,https://foodlandbalaklava.com.au//lines/coca-cola-family-pk-30x375ml
Foodland Balaklava,2025-05-04 23:54:17,Helgas Bread Mixed Grain,850g,was $6.55,$5.00,$0.59 per 100g,https://foodlandbalaklava.com.au//lines/helga-brd-mixed-grain-850gm
Foodland Balaklava,2025-05-04 23:54:17,Peculiar Pick Apples Bag,1.5kg,was $4.20,$3.90,$2.60 per kg,https://foodlandbalaklava.com.au//lines/apples-pink-lady-1-5kg-bag
Foodland Balaklava,2025-05-04 23:54:17,SLAPE BBQ SAUSAGES,1.5kg,was $10.75,$9.75,$6.50 per kg,https://foodlandbalaklava.com.au//lines/slapes-bbq-sausages-1-5kg
Foodland Balaklava,2025-05-04 23:54:17,Bacon Pieces,N/A,N/A,$19.00,N/A,https://foodlandbalaklava.com.au//lines/bacon-pieces
Foodland Balaklava,2025-05-04 23:54:17,Hans Short Cut Bacon Rindless,750g,was $17.85,$12.00,$16.00 per kg,https://foodlandbalaklava.com.au//lines/hans-bacon-shrt-cut-r-l-750gm
Foodland Balaklava,2025-05-04 23:54:17,Long Cheese & Bacon Roll,N/A,N/A,$2.99,N/A,https://foodlandbalaklava.com.au//lines/long-cheese-bacon-roll
Foodland Balaklava,2025-05-04 23:54:17,Tip Top English Muffins Original 6pk,N/A,was $6.20,$3.10,$0.78 per 100g,https://foodlandbalaklava.com.au//lines/t-top-muffins-english-pkt-6
Foodland Balaklava,2025-05-04 23:54:17,Bakers Oven Lamington Fingers,350g,N/A,$3.95,$1.13 per 100g,https://foodlandbalaklava.com.au//lines/b-ovn-lamington-fingers-350gm
Foodland Balaklava,2025-05-04 23:54:17,Foodland Reduced fat Milk,3L,was $5.65,$5.40,$1.80 per L,https://foodlandbalaklava.com.au//lines/f-land-reduced-fat-milk-3lt
Foodland Balaklava,2025-05-04 23:54:17,Ham Leg Aussie,N/A,N/A,$37.00,N/A,https://foodlandbalaklava.com.au//lines/ham-leg-aussie-1
Foodland Balaklava,2025-05-04 23:54:17,Kiwifruit Each,N/A,N/A,$1.40,N/A,https://foodlandbalaklava.com.au//lines/kiwifruit-each
Foodland Balaklava,2025-05-04 23:54:17,Kleenex Complete Clean Toilet Paper 45 Pack,N/A,was $33.10,$22.00,$0.27 per 100 Sheets,https://foodlandbalaklava.com.au//lines/klnx-t-roll-white-reg-45pk
Foodland Balaklava,2025-05-04 23:54:18,Tip Top Bakery Tip Top® The One® Soft White Toast E,700g,was $5.90,$4.50,$0.64 per 100g,https://foodlandbalaklava.com.au//lines/t-top-brd-the-one-toast-700gm
Foodland Balaklava,2025-05-04 23:54:18,Allen's Party Mix Lollies Bag,420g,was $6.85,$5.80,$1.38 per 100g,https://foodlandbalaklava.com.au//lines/allens-party-mix-420gm
Foodland Balaklava,2025-05-04 23:54:18,Arnott's Biscuits Family Favourites,500g,N/A,$5.00,$1.00 per 100g,https://foodlandbalaklava.com.au//lines/arn-family-asst-500gm
Foodland Balaklava,2025-05-04 23:54:18,Arnott's Tim Tam Original Family Pack Chocolate Biscuits,365g,N/A,$7.90,$2.16 per 100g,https://foodlandbalaklava.com.au//lines/arn-choc-tim-tam-v-pk-365gm
Foodland Balaklava,2025-05-04 23:54:18,Dairy Farmers Chocolate Milk,2L,was $8.00,$6.50,$3.25 per L,https://foodlandbalaklava.com.au//lines/classic-milk-choc-bottle-2l-1
Foodland Balaklava,2025-05-04 23:54:18,Foodland Hamburger Roll 6pk,N/A,was $4.20,$3.70,$0.62 Each,https://foodlandbalaklava.com.au//lines/f-land-rolls-hamburger-6pk-1
Foodland Balaklava,2025-05-04 23:54:18,Helgas Bread Continental Bakehouse Traditional Wholemeal,750g,was $6.55,$5.00,$0.67 per 100g,https://foodlandbalaklava.com.au//lines/helga-brd-trad-w-meal-750gm
Foodland Balaklava,2025-05-04 23:54:18,Yoplait Strawberry Yoghurt,1kg,N/A,$4.75,$0.48 per 100g,https://foodlandbalaklava.com.au//lines/yop-ygt-strawberry-1kg
Foodland Balaklava,2025-05-04 23:54:18,Community Co. Coleslaw,200g,was $2.05,$1.10,$5.50 per kg,https://foodlandbalaklava.com.au//lines/comm-co-aussie-coleslaw-200gm
Foodland Balaklava,2025-05-04 23:54:18,Baby Lebanese Cucumber,250g,N/A,$4.20,$16.80 per kg,https://foodlandbalaklava.com.au//lines/cucumbers-baby-lebanese-250g-3
Foodland Balaklava,2025-05-04 23:54:18,Country Fresh Egg Caged m,12 x 800g,N/A,$6.75,N/A,https://foodlandbalaklava.com.au//lines/c-frsh-egg-caged-12pk-800gm
Foodland Balaklava,2025-05-04 23:54:18,Garlic Loose Kg,N/A,N/A,$2.69,$29.90 per kg,https://foodlandbalaklava.com.au//lines/garlic-loose-kg
Foodland Balaklava,2025-05-04 23:54:18,Lemons Loose Per Kg,N/A,N/A,$1.43,$8.40 per kg,https://foodlandbalaklava.com.au//lines/lemons-loose-per-kg
Foodland Balaklava,2025-05-04 23:54:18,Lettuce Baby Cos Twn Pk,N/A,N/A,$4.90,$2.45 Each,https://foodlandbalaklava.com.au//lines/lettuce-baby-coz-twn-pk
Foodland Balaklava,2025-05-04 23:54:18,Mighty Soft Sliced Multigrain Bread Sandwich,700g,was $4.90,$3.90,$0.56 per 100g,https://foodlandbalaklava.com.au//lines/mighty-soft-m-grain-700gm
Foodland Balaklava,2025-05-04 23:54:18,Silverside Beef Slices,N/A,N/A,$28.00,N/A,https://foodlandbalaklava.com.au//lines/silverside-beef-slices-1
Foodland Balaklava,2025-05-04 23:54:18,Wonder White Wonder High Fibre & Iron Wholemeal Sliced Bread Sandwich,700g,was $5.45,$4.50,$0.64 per 100g,https://foodlandbalaklava.com.au//lines/wonder-wht-wholemeal-700gm
Foodland Balaklava,2025-05-04 23:54:18,Arnott's Shapes Originals Biscuits Xbox 25 Barbecue,175g,was $4.00,$3.50,$2.00 per 100g,https://foodlandbalaklava.com.au//lines/arn-shapes-orig-bbq-175gm
Foodland Balaklava,2025-05-04 23:54:18,Bega Farmers Tasty Natural Cheese Slices,250g,was $7.90,$5.50,$22.00 per kg,https://foodlandbalaklava.com.au//lines/bega-chse-chdr-tasty-slc-250gm
Foodland Balaklava,2025-05-04 23:54:18,Black & Gold Plain Flour,2kg,N/A,$2.70,$1.35 per kg,https://foodlandbalaklava.com.au//lines/b-gold-flour-plain-2kg
Foodland Balaklava,2025-05-04 23:54:18,Farmers Union Iced Coffee Ctn,600mL,was $3.25,$2.90,$4.83 per L,https://foodlandbalaklava.com.au//lines/farm-union-milk-iced-cofe600ml
Foodland Balaklava,2025-05-04 23:54:18,Pork Mince 3 Star,500g,N/A,$7.35,$14.70 per kg,https://foodlandbalaklava.com.au//lines/k-crown-pork-mince-500g
Foodland Balaklava,2025-05-04 23:54:18,Potato Spud Lite,1.5kg,N/A,$5.40,$3.60 per kg,https://foodlandbalaklava.com.au//lines/potato-spud-lite-1-5kg
Foodland Balaklava,2025-05-04 23:54:18,Slape And Son Barbecue Sausages,1kg,was $7.75,$6.50,N/A,https://foodlandbalaklava.com.au//lines/slapes-bbq-thin-1kg
Foodland Balaklava,2025-05-04 23:54:18,Uncle Tobys Plus Iron Breakfast Cereal With Cashews & Nutty Clusters,630g,was $9.25,$7.20,$1.14 per 100g,https://foodlandbalaklava.com.au//lines/u-toby-plus-iron-630gm
Foodland Balaklava,2025-05-04 23:54:18,Whiskas 1+ Years Adult Wet Cat Food With Chicken Mince Can,400g,was $2.85,$2.45,$0.61 per 100g,https://foodlandbalaklava.com.au//lines/whiskas-tsty-mnce-chicken400gm
Foodland Balaklava,2025-05-04 23:54:18,Yp Beef Topside Mince,N/A,N/A,$11.00,$21.99 per kg,https://foodlandbalaklava.com.au//lines/yp-beef-topside-mince-2
Foodland Balaklava,2025-05-04 23:54:18,Arnott's Biscuits Monte Carlo Cream,250g,was $4.20,$2.00,$0.80 per 100g,https://foodlandbalaklava.com.au//lines/arn-monte-carlo-250gm
Foodland Balaklava,2025-05-04 23:54:18,Bega Farmer's Tasty Grated Cheese,300g,was $7.90,$6.50,$21.67 per kg,https://foodlandbalaklava.com.au//lines/bega-chse-tasty-shrd-300gm
Foodland Balaklava,2025-05-04 23:54:18,Cabbage Quarter,N/A,N/A,$1.20,N/A,https://foodlandbalaklava.com.au//lines/cabbage-quarter
Foodland Balaklava,2025-05-04 23:54:18,Coca-Cola,24 x 375mL,N/A,$41.25,$4.58 per L,https://foodlandbalaklava.com.au//lines/coca-cola-24x375ml
