date,seasonal_component
2025-09-17,0.7046059501789907
2025-09-18,-0.8478985588846651
2025-09-19,-0.8980185993882461
2025-09-20,-0.9515159891195579
2025-09-21,-1.0083169355625057
2025-09-22,-1.0682011892735017
2025-09-23,-0.05484562647354796
2025-09-24,-0.11975546121822614
2025-09-25,-0.18649807310132155
2025-09-26,-0.2546225521004265
2025-09-27,-0.3237185384074394
2025-09-28,-1.469841564351317
2025-09-29,-1.539866967301178
2025-09-30,-1.6099476494416138
2025-10-01,-1.6798784999276142
2025-10-02,-1.7495372520919672
2025-10-03,0.8394982498455343
2025-10-04,0.7704241100755721
2025-10-05,0.7016377179830589
2025-10-06,0.6330951573343007
2025-10-07,0.5647512019575446
2025-10-08,0.999106089841123
2025-10-09,0.931180611089964
2025-10-10,0.8635110048354425
2025-10-11,0.796161649494544
